nroErrores;Error;GÉNERO;AÑO;GRADO;GRUPO;FECHA DE NACIMIENTO;EDAD;NIVEL;CATEGORÍA;UNIDAD ACADÉMICA;SEDE;PROGRAMA EDUCATIVO;NACIONALIDAD;ESTADO DE NACIMIENTO;LENGUA INDÍGENA;Núm. ALUMNOS
215;Valores repetidos;M;2014           ;7              ;5              ;01/03/1993;21             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;INGENIERÍA EN ECONOMÍ;MEXICANA;MÉXICO         ;             ;1              
216;Valores repetidos;M;2014           ;7              ;5              ;20/11/1993;20             ;LICENCIATURA;BECADO EXTERNO;DEIS EN SUELOS            ;CHAPINGO;INGENIERÍA EN RECURSO;MEXICANA;MÉXICO         ;PURÉPECHA O T;1              
217;Valores repetidos;M;2014           ;8              ;5              ;12/02/1996;18             ;PROPEDÉUTICO;BECADO EXTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PROPEDÉUTICO         ;MEXICANA;OAXACA         ;CUICATECO    ;1              
218;Valores repetidos;M;2014           ;8              ;18             ;25/04/1996;18             ;PROPEDÉUTICO;BECADO EXTERNO;CENTRO REGIONAL UNIVERSITA;CRUS    ;PROPEDÉUTICO         ;MEXICANA;OAXACA         ;MIXTECO      ;1              
219;Valores repetidos;M;2014           ;11             ;               ;08/08/1989;25             ;MAESTRÍA    ;COMPLETO      ;UNIDAD REGIONAL UNIVERSITA;URUZA   ;MAESTRÍA EN CIENCIAS ;MEXICANA;MÉXICO         ;             ;1              
220;Valores repetidos;H;2015           ;1              ;12             ;10/12/2000;14             ;PREPARATORIA;EXTERNO       ;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;MÉXICO         ;             ;1              
221;Valores repetidos;H;2015           ;2              ;20             ;21/01/1999;16             ;PREPARATORIA;BECADO INTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;OAXACA         ;MIXTECO      ;2              
222;Valores repetidos;H;2015           ;3              ;3              ;02/01/1998;17             ;PREPARATORIA;BECADO EXTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
223;Valores repetidos;H;2015           ;3              ;8              ;21/07/1998;17             ;PREPARATORIA;EXTERNO       ;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;OAXACA         ;CHINANTECO   ;1              
224;Valores repetidos;H;2015           ;4              ;1              ;23/03/1996;19             ;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;MIXTECO      ;1              
225;Valores repetidos;H;2015           ;4              ;1              ;05/11/1996;18             ;LICENCIATURA;BECADO EXTERNO;DEIS EN SUELOS            ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;             ;1              
226;Valores repetidos;H;2015           ;4              ;2              ;22/07/1996;19             ;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA MECÁNIC;CHAPINGO;INGENIERO MECÁNICO AG;MEXICANA;MÉXICO         ;             ;1              
227;Valores repetidos;H;2015           ;4              ;4              ;06/12/1995;19             ;LICENCIATURA;BECADO INTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
228;Valores repetidos;H;2015           ;5              ;2              ;17/06/1995;20             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS FORES;CHAPINGO;INGENIERO FORESTAL   ;MEXICANA;DURANGO        ;             ;1              
229;Valores repetidos;H;2015           ;5              ;3              ;19/04/1996;19             ;LICENCIATURA;BECADO INTERNO;DEIS EN INGENIERÍA MECÁNIC;CHAPINGO;INGENIERO MECÁNICO AG;MEXICANA;OAXACA         ;MIXTECO      ;1              
230;Valores repetidos;H;2015           ;6              ;1              ;15/10/1993;21             ;LICENCIATURA;BECADO EXTERNO;UNIDAD REGIONAL UNIVERSITA;URUSSE  ;INGENIERO AGRÓNOMO ES;MEXICANA;VERACRUZ       ;             ;1              
231;Valores repetidos;H;2015           ;6              ;1              ;28/07/1994;21             ;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;VERACRUZ       ;             ;1              
232;Valores repetidos;H;2015           ;6              ;2              ;08/12/1994;20             ;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA        ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;MIXTECO      ;1              
233;Valores repetidos;H;2015           ;6              ;2              ;23/12/1994;20             ;LICENCIATURA;BECADO INTERNO;DEIS EN AGROECOLOGÍA      ;CHAPINGO;INGENIERÍA EN AGROECO;MEXICANA;HIDALGO        ;             ;1              
234;Valores repetidos;H;2015           ;6              ;2              ;21/03/1995;20             ;LICENCIATURA;EXTERNO       ;DEIS EN IRRIGACIÓN        ;CHAPINGO;INGENIERO EN IRRIGACI;MEXICANA;MÉXICO         ;             ;1              
235;Valores repetidos;H;2015           ;6              ;3              ;01/10/1993;21             ;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;PUEBLA         ;             ;1              
236;Valores repetidos;H;2015           ;8              ;14             ;10/12/1996;18             ;PROPEDÉUTICO;BECADO EXTERNO;UNIDAD REGIONAL UNIVERSITA;URUSSE  ;PROPEDÉUTICO         ;MEXICANA;CHIAPAS        ;TSOTSIL      ;1              
237;Valores repetidos;H;2015           ;8              ;21             ;25/03/1997;18             ;PROPEDÉUTICO;EXTERNO       ;CENTRO REGIONAL UNIVERSITA;CRUO    ;PROPEDÉUTICO         ;MEXICANA;VERACRUZ       ;             ;1              
238;Valores repetidos;M;2015           ;1              ;13             ;13/03/2000;15             ;PREPARATORIA;BECADO INTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;OAXACA         ;MIXTECO      ;1              
239;Valores repetidos;M;2015           ;1              ;30             ;03/10/1998;16             ;PREPARATORIA;BECADO INTERNO;UNIDAD REGIONAL UNIVERSITA;URUZA   ;PREPARATORIA AGRÍCOLA;MEXICANA;DURANGO        ;TEPEHUANO DEL;1              
240;Valores repetidos;M;2015           ;4              ;1              ;02/01/1996;19             ;LICENCIATURA;BECADO INTERNO;DEIS EN AGROECOLOGÍA      ;CHAPINGO;INGENIERÍA EN AGROECO;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
241;Valores repetidos;M;2015           ;4              ;2              ;15/11/1996;18             ;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;GUANAJUATO     ;             ;1              
242;Valores repetidos;M;2015           ;5              ;1              ;23/08/1995;20             ;LICENCIATURA;BECADO EXTERNO;DEIS EN SUELOS            ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;PUEBLA         ;NÁHUATL      ;1              
243;Valores repetidos;M;2015           ;5              ;1              ;27/10/1995;19             ;LICENCIATURA;EXTERNO       ;UNIDAD REGIONAL UNIVERSITA;URUSSE  ;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
244;Valores repetidos;M;2015           ;5              ;3              ;22/05/1995;20             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;MORELOS        ;             ;1              
245;Valores repetidos;M;2015           ;6              ;4              ;05/02/1994;21             ;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MICHOACÁN      ;PURÉPECHA O T;1              
246;Valores repetidos;M;2015           ;7              ;3              ;07/08/1993;22             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;OAXACA         ;             ;1              
247;Valores repetidos;H;2016           ;1              ;20             ;12/04/2001;15             ;PREPARATORIA;BECADO INTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;PUEBLA         ;NÁHUATL      ;1              
248;Valores repetidos;H;2016           ;1              ;26             ;07/02/2001;15             ;PREPARATORIA;BECADO INTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
249;Valores repetidos;H;2016           ;2              ;4              ;18/11/1999;16             ;PREPARATORIA;BECADO EXTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;OAXACA         ;MIXTECO      ;1              
250;Valores repetidos;H;2016           ;3              ;18             ;21/01/1999;17             ;PREPARATORIA;BECADO INTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;OAXACA         ;MIXTECO      ;2              
251;Valores repetidos;H;2016           ;4              ;1              ;07/05/1995;21             ;LICENCIATURA;BECADO EXTERNO;UNIDAD REGIONAL UNIVERSITA;URUSSE  ;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;             ;1              
252;Valores repetidos;H;2016           ;4              ;1              ;23/07/1997;19             ;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
253;Valores repetidos;H;2016           ;4              ;1              ;02/12/1997;18             ;LICENCIATURA;BECADO INTERNO;DIVISIÓN DE CIENCIAS FORES;CHAPINGO;INGENIERO FORESTAL   ;MEXICANA;PUEBLA         ;TOTONACO     ;1              
254;Valores repetidos;H;2016           ;4              ;1              ;09/09/1998;18             ;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;             ;1              
255;Valores repetidos;H;2016           ;4              ;2              ;14/01/1997;19             ;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;CHATINO      ;1              
256;Valores repetidos;H;2016           ;5              ;1              ;23/03/1996;20             ;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;MIXTECO      ;1              
257;Valores repetidos;H;2016           ;5              ;1              ;05/11/1996;19             ;LICENCIATURA;BECADO EXTERNO;DEIS EN SUELOS            ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;             ;1              
258;Valores repetidos;H;2016           ;5              ;3              ;13/07/1996;20             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;VERACRUZ       ;             ;1              
259;Valores repetidos;H;2016           ;5              ;7              ;10/05/1991;25             ;LICENCIATURA;EXTERNO       ;DIVISIÓN DE CIENCIAS FORES;CHAPINGO;INGENIERÍA EN RESTAUR;MEXICANA;MÉXICO         ;             ;1              
260;Valores repetidos;H;2016           ;6              ;1              ;02/02/1995;21             ;LICENCIATURA;BECADO EXTERNO;DEIS EN IRRIGACIÓN        ;CHAPINGO;INGENIERO EN IRRIGACI;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
261;Valores repetidos;H;2016           ;6              ;1              ;11/03/1995;21             ;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;             ;1              
262;Valores repetidos;H;2016           ;6              ;2              ;17/06/1995;21             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS FORES;CHAPINGO;INGENIERO FORESTAL   ;MEXICANA;DURANGO        ;             ;1              
263;Valores repetidos;H;2016           ;6              ;2              ;06/08/1995;21             ;LICENCIATURA;BECADO INTERNO;DEIS EN INGENIERÍA MECÁNIC;CHAPINGO;INGENIERO MECÁNICO AG;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
264;Valores repetidos;H;2016           ;7              ;1              ;28/07/1994;22             ;LICENCIATURA;BECADO EXTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;VERACRUZ       ;             ;1              
265;Valores repetidos;H;2016           ;7              ;2              ;21/03/1995;21             ;LICENCIATURA;EXTERNO       ;DEIS EN IRRIGACIÓN        ;CHAPINGO;INGENIERO EN IRRIGACI;MEXICANA;MÉXICO         ;             ;1              
266;Valores repetidos;H;2016           ;8              ;4              ;10/09/1998;18             ;PROPEDÉUTICO;BECADO EXTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PROPEDÉUTICO         ;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
267;Valores repetidos;H;2016           ;8              ;20             ;07/06/1998;18             ;PROPEDÉUTICO;BECADO EXTERNO;CENTRO REGIONAL UNIVERSITA;CRUO    ;PROPEDÉUTICO         ;MEXICANA;VERACRUZ       ;TOTONACO     ;1              
268;Valores repetidos;M;2016           ;2              ;11             ;13/03/2000;16             ;PREPARATORIA;BECADO INTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;OAXACA         ;MIXTECO      ;1              
269;Valores repetidos;M;2016           ;2              ;30             ;03/10/1998;17             ;PREPARATORIA;BECADO INTERNO;UNIDAD REGIONAL UNIVERSITA;URUZA   ;PREPARATORIA AGRÍCOLA;MEXICANA;DURANGO        ;TEPEHUANO DEL;1              
270;Valores repetidos;M;2016           ;4              ;4              ;13/06/1998;18             ;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;MIXE         ;1              
271;Valores repetidos;M;2016           ;4              ;5              ;24/04/1997;19             ;LICENCIATURA;EXTERNO       ;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
272;Valores repetidos;M;2016           ;5              ;1              ;02/01/1996;20             ;LICENCIATURA;BECADO INTERNO;DEIS EN AGROECOLOGÍA      ;CHAPINGO;INGENIERÍA EN AGROECO;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
273;Valores repetidos;M;2016           ;5              ;2              ;15/11/1996;19             ;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;GUANAJUATO     ;             ;1              
274;Valores repetidos;M;2016           ;5              ;3              ;04/04/1995;21             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;OAXACA         ;MIXTECO      ;1              
275;Valores repetidos;M;2016           ;6              ;1              ;23/08/1995;21             ;LICENCIATURA;BECADO EXTERNO;DEIS EN SUELOS            ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;PUEBLA         ;NÁHUATL      ;1              
276;Valores repetidos;M;2016           ;6              ;3              ;22/05/1995;21             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;MORELOS        ;             ;1              
277;Valores repetidos;M;2016           ;7              ;4              ;05/02/1994;22             ;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MICHOACÁN      ;PURÉPECHA O T;1              
278;Valores repetidos;M;2016           ;8              ;11             ;05/06/1998;18             ;PROPEDÉUTICO;BECADO EXTERNO;UNIDAD REGIONAL UNIVERSITA;URUZA   ;PROPEDÉUTICO         ;MEXICANA;DURANGO        ;TEPEHUANO DEL;1              
279;Valores repetidos;H;2017           ;1              ;2              ;09/10/2002;14             ;PREPARATORIA;BECADO EXTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;OAXACA         ;CHINANTECO   ;1              
280;Valores repetidos;H;2017           ;2              ;20             ;12/04/2001;16             ;PREPARATORIA;BECADO INTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;PUEBLA         ;NÁHUATL      ;1              
281;Valores repetidos;H;2017           ;3              ;4              ;18/11/1999;17             ;PREPARATORIA;BECADO EXTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;OAXACA         ;MIXTECO      ;1              
282;Valores repetidos;H;2017           ;3              ;6              ;20/06/2000;17             ;PREPARATORIA;BECADO INTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;CHIAPAS        ;             ;1              
283;Valores repetidos;H;2017           ;4              ;2              ;20/07/1997;20             ;LICENCIATURA;EXTERNO       ;DEIS EN INGENIERÍA MECÁNIC;CHAPINGO;INGENIERO MECÁNICO AG;MEXICANA;PUEBLA         ;NÁHUATL      ;1              
284;Valores repetidos;H;2017           ;4              ;2              ;01/10/1997;19             ;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA        ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;MIXTECO      ;1              
285;Valores repetidos;H;2017           ;4              ;2              ;16/06/1998;19             ;LICENCIATURA;BECADO EXTERNO;UNIDAD REGIONAL UNIVERSITA;URUZA   ;TRONCO COMÚN AGRONÓMI;MEXICANA;DURANGO        ;             ;1              
286;Valores repetidos;H;2017           ;4              ;2              ;07/10/1998;18             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS FORES;CHAPINGO;INGENIERO FORESTAL   ;MEXICANA;OAXACA         ;             ;1              
287;Valores repetidos;H;2017           ;4              ;3              ;01/02/1998;19             ;LICENCIATURA;BECADO INTERNO;DEIS EN INGENIERÍA MECÁNIC;CHAPINGO;INGENIERO MECÁNICO AG;MEXICANA;PUEBLA         ;             ;1              
288;Valores repetidos;H;2017           ;4              ;5              ;10/01/1997;20             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS FORES;CHAPINGO;LICENCIADO EN ESTADÍS;MEXICANA;MÉXICO         ;             ;1              
289;Valores repetidos;H;2017           ;5              ;1              ;07/05/1995;22             ;LICENCIATURA;BECADO EXTERNO;UNIDAD REGIONAL UNIVERSITA;URUSSE  ;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;             ;1              
290;Valores repetidos;H;2017           ;5              ;3              ;09/11/1997;19             ;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;PUEBLA         ;NÁHUATL      ;1              
291;Valores repetidos;H;2017           ;6              ;1              ;23/03/1996;21             ;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;MIXTECO      ;1              
292;Valores repetidos;H;2017           ;6              ;1              ;25/03/1996;21             ;LICENCIATURA;BECADO INTERNO;DEIS EN IRRIGACIÓN        ;CHAPINGO;INGENIERO EN IRRIGACI;MEXICANA;CHIAPAS        ;             ;1              
293;Valores repetidos;H;2017           ;6              ;1              ;05/11/1996;20             ;LICENCIATURA;BECADO EXTERNO;DEIS EN SUELOS            ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;             ;1              
294;Valores repetidos;H;2017           ;6              ;3              ;13/07/1996;21             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;VERACRUZ       ;             ;1              
295;Valores repetidos;H;2017           ;7              ;1              ;18/10/1994;22             ;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA        ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
296;Valores repetidos;H;2017           ;7              ;1              ;02/02/1995;22             ;LICENCIATURA;BECADO EXTERNO;DEIS EN IRRIGACIÓN        ;CHAPINGO;INGENIERO EN IRRIGACI;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
297;Valores repetidos;H;2017           ;7              ;2              ;06/08/1995;22             ;LICENCIATURA;BECADO INTERNO;DEIS EN INGENIERÍA MECÁNIC;CHAPINGO;INGENIERO MECÁNICO AG;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
298;Valores repetidos;M;2017           ;1              ;21             ;19/07/2002;15             ;PREPARATORIA;BECADO INTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
299;Valores repetidos;M;2017           ;1              ;30             ;03/09/2002;15             ;PREPARATORIA;BECADO INTERNO;UNIDAD REGIONAL UNIVERSITA;URUZA   ;PREPARATORIA AGRÍCOLA;MEXICANA;DURANGO        ;             ;1              
300;Valores repetidos;M;2017           ;2              ;13             ;20/03/2001;16             ;PREPARATORIA;BECADO INTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;NAYARIT        ;             ;1              
301;Valores repetidos;M;2017           ;3              ;30             ;03/10/1998;18             ;PREPARATORIA;BECADO INTERNO;UNIDAD REGIONAL UNIVERSITA;URUZA   ;PREPARATORIA AGRÍCOLA;MEXICANA;DURANGO        ;TEPEHUANO DEL;1              
302;Valores repetidos;M;2017           ;4              ;1              ;14/03/1999;18             ;LICENCIATURA;EXTERNO       ;DEIS EN INGENIERÍA MECÁNIC;CHAPINGO;INGENIERO MECÁNICO AG;MEXICANA;MÉXICO         ;             ;1              
303;Valores repetidos;M;2017           ;4              ;2              ;12/06/1998;19             ;LICENCIATURA;BECADO EXTERNO;UNIDAD REGIONAL UNIVERSITA;URUZA   ;TRONCO COMÚN AGRONÓMI;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
304;Valores repetidos;M;2017           ;4              ;4              ;20/11/1998;18             ;LICENCIATURA;EXTERNO       ;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
305;Valores repetidos;M;2017           ;5              ;1              ;20/08/1998;19             ;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
306;Valores repetidos;M;2017           ;5              ;4              ;13/06/1998;19             ;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;MIXE         ;1              
307;Valores repetidos;M;2017           ;5              ;5              ;24/04/1997;20             ;LICENCIATURA;EXTERNO       ;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
308;Valores repetidos;M;2017           ;6              ;1              ;02/01/1996;21             ;LICENCIATURA;BECADO INTERNO;DEIS EN AGROECOLOGÍA      ;CHAPINGO;INGENIERÍA EN AGROECO;MEXICANA;OAXACA         ;ZAPOTECO     ;1              
309;Valores repetidos;M;2017           ;6              ;3              ;04/04/1995;22             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;OAXACA         ;MIXTECO      ;1              
310;Valores repetidos;M;2017           ;7              ;1              ;23/08/1995;22             ;LICENCIATURA;BECADO EXTERNO;DEIS EN SUELOS            ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;PUEBLA         ;NÁHUATL      ;1              
311;Valores repetidos;M;2017           ;7              ;3              ;22/05/1995;22             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;MORELOS        ;             ;1              
312;Valores repetidos;H;2018           ;1              ;30             ;05/04/2003;15             ;PREPARATORIA;EXTERNO       ;UNIDAD REGIONAL UNIVERSITA;URUZA   ;PREPARATORIA AGRÍCOLA;MEXICANA;CHIHUAHUA      ;             ;1              
313;Valores repetidos;H;2018           ;2              ;14             ;19/05/2002;16             ;PREPARATORIA;EXTERNO       ;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;MÉXICO         ;             ;1              
314;Valores repetidos;H;2018           ;3              ;14             ;19/01/2001;17             ;PREPARATORIA;EXTERNO       ;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;CDMX           ;             ;1              
315;Valores repetidos;H;2018           ;4              ;1              ;07/01/1999;19             ;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA        ;CHAPINGO;INGENIERÍA AGRONÓMICA;MEXICANA;OAXACA         ;TRIQUI       ;1              
316;Valores repetidos;H;2018           ;4              ;3              ;30/06/2000;18             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS FORES;CHAPINGO;INGENIERO FORESTAL IN;MEXICANA;MÉXICO         ;             ;1              
317;Valores repetidos;H;2018           ;4              ;5              ;10/03/2000;18             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;TRONCO COMÚN DE DICEA;MEXICANA;MÉXICO         ;             ;1              
318;Valores repetidos;H;2018           ;5              ;2              ;01/10/1997;20             ;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA        ;CHAPINGO;INGENIERÍA AGRONÓMICA;MEXICANA;OAXACA         ;MIXTECO      ;1              
319;Valores repetidos;H;2018           ;5              ;2              ;16/06/1998;20             ;LICENCIATURA;BECADO EXTERNO;UNIDAD REGIONAL UNIVERSITA;URUZA   ;INGENIERÍA EN SISTEMA;MEXICANA;DURANGO        ;             ;1              
320;Valores repetidos;H;2018           ;5              ;3              ;01/02/1998;20             ;LICENCIATURA;BECADO INTERNO;DEIS EN INGENIERÍA MECÁNIC;CHAPINGO;INGENIERO MECÁNICO AG;MEXICANA;PUEBLA         ;             ;1              
321;Valores repetidos;H;2018           ;5              ;5              ;10/01/1997;21             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS FORES;CHAPINGO;LICENCIADO EN ESTADÍS;MEXICANA;MÉXICO         ;             ;1              
322;Valores repetidos;H;2018           ;5              ;5              ;14/05/1998;20             ;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;             ;1              
323;Valores repetidos;H;2018           ;6              ;1              ;07/05/1995;23             ;LICENCIATURA;BECADO EXTERNO;UNIDAD REGIONAL UNIVERSITA;URUSSE  ;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;             ;1              
